day,level,uid,day_formatted,date,number_of_calls,number_of_sms,duration_hours,number_of_deadlines
2013-03-27.3,1.0,u59,2013-03-27,2013-03-27,25.0,61.0,4.373888888888889,0.0
2013-03-27.4,4.0,u59,2013-03-27,2013-03-27,25.0,61.0,4.373888888888889,0.0
2013-03-27.4,4.0,u59,2013-03-27,2013-03-27,25.0,61.0,4.373888888888889,0.0
2013-03-27.5,2.0,u59,2013-03-27,2013-03-27,25.0,61.0,4.373888888888889,0.0
2013-03-27.5,2.0,u59,2013-03-27,2013-03-27,25.0,61.0,4.373888888888889,0.0
2013-03-29.6,1.0,u59,2013-03-29,2013-03-29,25.0,80.0,6.176666666666667,1.0
2013-03-29.7,2.0,u59,2013-03-29,2013-03-29,25.0,80.0,6.176666666666667,1.0
2013-03-29.8,4.0,u59,2013-03-29,2013-03-29,25.0,80.0,6.176666666666667,1.0
2013-03-28.6,1.0,u59,2013-03-28,2013-03-28,27.0,41.0,7.888611111111111,0.0
2013-03-28.7,4.0,u59,2013-03-28,2013-03-28,27.0,41.0,7.888611111111111,0.0
2013-03-28.8,5.0,u59,2013-03-28,2013-03-28,27.0,41.0,7.888611111111111,0.0
2013-03-30.3,5.0,u59,2013-03-30,2013-03-30,30.0,75.0,9.024166666666666,0.0
2013-03-30.4,1.0,u59,2013-03-30,2013-03-30,30.0,75.0,9.024166666666666,0.0
2013-03-30.5,4.0,u59,2013-03-30,2013-03-30,30.0,75.0,9.024166666666666,0.0
2013-03-31.6,4.0,u59,2013-03-31,2013-03-31,24.0,24.0,4.0225,0.0
2013-03-31.7,1.0,u59,2013-03-31,2013-03-31,24.0,24.0,4.0225,0.0
2013-04-02.6,1.0,u59,2013-04-02,2013-04-02,24.0,24.0,8.233888888888888,0.0
2013-04-02.7,4.0,u59,2013-04-02,2013-04-02,24.0,24.0,8.233888888888888,0.0
2013-04-03.11,5.0,u59,2013-04-03,2013-04-03,24.0,24.0,12.184722222222222,0.0
