day,rate,uid
2013-04-08.34,2.0,u16
2013-04-12.21,2.0,u16
2013-04-09.26,1.0,u16
2013-04-10.24,3.0,u16
2013-04-13.24,2.0,u16
2013-04-11.21,2.0,u16
2013-04-15.23,2.0,u16
2013-04-14.14,3.0,u16
2013-04-16.19,3.0,u16
2013-04-17.27,2.0,u16
2013-04-18.20,2.0,u16
2013-04-19.9,3.0,u16
2013-04-20.10,2.0,u16
2013-04-21.9,1.0,u16
2013-04-22.8,2.0,u16
2013-04-23.13,3.0,u16
2013-04-26.9,2.0,u16
2013-04-26.10,4.0,u16
2013-04-28.2,2.0,u16
2013-04-29.17,3.0,u16
2013-04-30.11,3.0,u16
2013-05-02.5,2.0,u16
2013-05-03.11,2.0,u16
2013-05-05.2,2.0,u16
2013-05-06.11,1.0,u16
2013-05-12.4,2.0,u16
2013-05-07.9,2.0,u16
2013-05-11.1,2.0,u16
2013-05-04.3,3.0,u16
2013-05-14.5,3.0,u16
2013-05-08.8,2.0,u16
2013-05-10.2,1.0,u16
2013-05-15.9,2.0,u16
2013-05-19.7,1.0,u16
2013-05-17.6,1.0,u16
2013-05-18.8,2.0,u16
2013-05-20.7,1.0,u16
2013-05-21.4,1.0,u16
2013-05-22.4,2.0,u16
