day,hours,uid
20/04/13.9,12,u33
30/04/13.9,8,u33
06/05/13.9,5,u33
08/05/13.7,9,u33
07/05/13.7,8,u33
24/05/13.5,2,u33
30/05/13.3,1,u33
28/03/13.22,8,u58
30/03/13.21,8,u58
03/04/13.33,7,u58
04/04/13.26,6,u58
05/04/13.33,7,u58
06/04/13.18,9,u58
08/04/13.33,8,u58
09/04/13.25,7,u58
17/04/13.24,7,u58
12/04/13.20,7,u58
11/04/13.18,6,u58
13/04/13.21,9,u58
18/04/13.19,5,u58
14/04/13.14,8,u58
15/04/13.20,8,u58
16/04/13.17,7,u58
19/04/13.6,4,u58
21/04/13.9,6,u58
22/04/13.7,7,u58
24/04/13.3,6,u58
23/04/13.12,6,u58
28/04/13.1,7,u58
26/04/13.8,6,u58
29/04/13.15,6,u58
30/04/13.10,6,u58
15/05/13.6,10,u58
06/05/13.10,5,u58
07/05/13.8,5,u58
14/05/13.4,7,u58
16/05/13.5,6,u58
13/05/13.6,4,u58
17/05/13.5,9,u58
20/05/13.5,6,u58
21/05/13.3,7,u58
22/05/13.3,9,u58
28/05/13,9,u58
08/04/13.34,8,u56
08/04/13.35,11,u56
09/04/13.26,8,u56
17/04/13.25,9,u56
10/04/13.24,9,u56
15/04/13.21,7,u56
16/04/13.18,8,u56
04/05/13.2,9,u56
03/04/13.34,6,u20
27/03/13.18,7,u20
04/04/13.27,7,u20
08/04/13.36,7,u20
07/04/13.16,7,u20
11/04/13.19,8,u20
03/04/13.35,7,u34
05/04/13.34,7,u34
29/04/13.16,5,u34
03/04/13.36,6,u01
27/03/13.19,7,u01
01/04/13.23,7,u01
28/03/13.23,10,u01
29/03/13.28,7,u01
30/03/13.22,8,u01
31/03/13.23,8,u01
04/04/13.28,8,u01
05/04/13.35,7,u01
06/04/13.19,8,u01
07/04/13.17,9,u01
10/04/13.25,8,u01
10/04/13.26,5,u01
17/04/13.26,7,u01
17/04/13.27,5,u01
11/04/13.20,6,u01
12/04/13.21,5,u01
13/04/13.22,9,u01
14/04/13.15,8,u01
19/04/13.7,7,u01
01/04/13.24,7,u53
01/04/13.25,6,u53
27/03/13.20,7,u53
28/03/13.24,8,u53
29/03/13.29,6,u53
30/03/13.23,7,u53
03/04/13.37,6,u53
05/04/13.36,5,u53
13/04/13.23,7,u53
19/04/13.8,6,u53
29/04/13.17,1,u53
25/04/13.9,6,u53
15/05/13.7,15,u53
20/05/13.6,1,u53
29/03/13.30,8,u16
27/03/13.21,7,u16
28/03/13.25,7,u16
30/03/13.24,8,u16
31/03/13.24,9,u16
02/04/13.16,9,u16
03/04/13.38,8,u16
04/04/13.29,8,u16
05/04/13.37,8,u16
06/04/13.20,10,u16
07/04/13.18,8,u16
08/04/13.37,7,u16
12/04/13.22,6,u16
09/04/13.27,8,u16
10/04/13.27,6,u16
13/04/13.24,9,u16
11/04/13.21,9,u16
15/04/13.22,5,u16
14/04/13.16,7,u16
16/04/13.19,8,u16
17/04/13.28,7,u16
18/04/13.20,7,u16
19/04/13.9,7,u16
20/04/13.10,7,u16
21/04/13.10,8,u16
22/04/13.8,7,u16
23/04/13.13,8,u16
26/04/13.9,9,u16
26/04/13.10,5,u16
28/04/13.2,7,u16
29/04/13.18,6,u16
30/04/13.11,6,u16
02/05/13.5,8,u16
03/05/13.11,9,u16
05/05/13.2,8,u16
06/05/13.11,7,u16
12/05/13.5,6,u16
07/05/13.9,8,u16
11/05/13.1,10,u16
04/05/13.3,8,u16
14/05/13.5,9,u16
08/05/13.8,10,u16
10/05/13.2,9,u16
15/05/13.8,9,u16
19/05/13.7,13,u16
17/05/13.6,8,u16
18/05/13.8,8,u16
20/05/13.7,9,u16
21/05/13.4,7,u16
22/05/13.4,6,u16
23/05/13.6,6,u16
24/05/13.6,13,u16
28/05/13.1,11,u16
28/03/13.26,5,u54
30/03/13.25,6,u54
05/04/13.38,5,u54
10/04/13.28,5,u54
11/04/13.22,8,u54
12/04/13.23,5,u54
15/04/13.23,7,u54
16/04/13.20,6,u54
17/04/13.29,4,u54
29/03/13.31,7,u35
29/03/13.32,6,u35
03/04/13.39,5,u35
02/04/13.17,6,u35
04/04/13.30,7,u35
05/04/13.39,7,u35
14/04/13.17,8,u35
09/04/13.28,8,u35
10/04/13.29,8,u35
12/04/13.24,8,u35
15/04/13.24,8,u35
16/04/13.21,7,u35
18/04/13.21,6,u35
29/04/13.19,8,u35
30/04/13.12,6,u35
02/05/13.6,6,u35
